Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-usa51-il-200000
Airfoil,usa51-il
Reynolds number,200000
Ncrit,9
Mach,0
Max Cl/Cd,63.196
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-usa51-il-200000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,-0.4439,0.08620,0.08281,-0.0283,1.0000,0.0459
-8.250,-0.4581,0.08212,0.07882,-0.0325,1.0000,0.0466
-8.000,-0.4699,0.07806,0.07478,-0.0355,1.0000,0.0469
-7.750,-0.4800,0.07395,0.07057,-0.0378,1.0000,0.0472
-7.500,-0.4861,0.07043,0.06692,-0.0379,1.0000,0.0474
-7.250,-0.4930,0.06412,0.06068,-0.0371,1.0000,0.0484
-7.000,-0.4866,0.06182,0.05847,-0.0349,1.0000,0.0496
-6.750,-0.4819,0.05954,0.05619,-0.0332,1.0000,0.0510
-6.500,-0.4782,0.05672,0.05332,-0.0321,1.0000,0.0532
-6.250,-0.4744,0.05329,0.04972,-0.0314,1.0000,0.0564
-6.000,-0.4772,0.04821,0.04416,-0.0306,1.0000,0.0610
-5.750,-0.4666,0.04582,0.04188,-0.0290,1.0000,0.0628
-5.500,-0.4560,0.04399,0.04002,-0.0272,1.0000,0.0666
-5.250,-0.4495,0.04069,0.03631,-0.0256,1.0000,0.0751
-5.000,-0.4369,0.03909,0.03481,-0.0239,1.0000,0.0792
-4.750,-0.4276,0.03652,0.03186,-0.0221,1.0000,0.0889
-4.500,-0.4100,0.02733,0.02152,-0.0185,1.0000,0.0505
-4.250,-0.3848,0.02356,0.01717,-0.0172,0.9988,0.0423
-4.000,-0.3437,0.02098,0.01408,-0.0194,0.9942,0.0427
-3.750,-0.3044,0.01936,0.01208,-0.0213,0.9887,0.0453
-3.500,-0.2634,0.01795,0.01038,-0.0235,0.9842,0.0468
-3.250,-0.2273,0.01631,0.00870,-0.0251,0.9784,0.0515
-3.000,-0.1871,0.01544,0.00780,-0.0275,0.9725,0.0569
-2.750,-0.1495,0.01449,0.00684,-0.0294,0.9658,0.0634
-2.500,-0.1102,0.01388,0.00623,-0.0315,0.9586,0.0732
-2.250,-0.0734,0.01310,0.00558,-0.0333,0.9508,0.0961
-2.000,-0.0412,0.01142,0.00503,-0.0347,0.9434,0.3413
-1.750,-0.0219,0.00990,0.00496,-0.0327,0.9328,0.7059
-1.500,0.0512,0.00957,0.00514,-0.0401,0.9359,0.9332
-1.250,0.1327,0.00967,0.00507,-0.0503,0.9382,0.9813
-1.000,0.2052,0.00952,0.00477,-0.0592,0.9344,1.0000
-0.750,0.2437,0.00926,0.00441,-0.0613,0.9168,1.0000
-0.500,0.2803,0.00901,0.00406,-0.0629,0.8950,1.0000
-0.250,0.3170,0.00877,0.00369,-0.0643,0.8668,1.0000
0.000,0.3516,0.00860,0.00331,-0.0652,0.8284,1.0000
0.250,0.3774,0.00862,0.00309,-0.0643,0.7871,1.0000
0.500,0.3991,0.00873,0.00297,-0.0628,0.7472,1.0000
0.750,0.4194,0.00889,0.00290,-0.0610,0.7076,1.0000
1.000,0.4391,0.00907,0.00287,-0.0592,0.6678,1.0000
1.250,0.4588,0.00928,0.00285,-0.0574,0.6271,1.0000
1.500,0.4789,0.00950,0.00286,-0.0558,0.5908,1.0000
