Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-vr7-il-1000000
Airfoil,vr7-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,125.007
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-vr7-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.4182,0.08187,0.08032,-0.0341,1.0000,0.0140
-9.250,-0.4216,0.07721,0.07568,-0.0369,1.0000,0.0144
-9.000,-0.4307,0.07140,0.06990,-0.0411,1.0000,0.0145
-8.750,-0.4439,0.06198,0.06045,-0.0537,0.9728,0.0144
-8.250,-0.4314,0.03054,0.02783,-0.0615,0.7809,0.0159
-8.000,-0.4560,0.02289,0.01980,-0.0592,0.7653,0.0164
-7.750,-0.4457,0.02073,0.01748,-0.0581,0.7513,0.0165
-7.500,-0.4290,0.01977,0.01644,-0.0575,0.7388,0.0168
-7.250,-0.4389,0.02580,0.02165,-0.0581,0.7494,0.0150
-6.750,-0.4142,0.01806,0.01287,-0.0535,0.7281,0.0145
-6.500,-0.3920,0.01671,0.01126,-0.0524,0.7190,0.0149
-6.250,-0.3676,0.01598,0.01035,-0.0518,0.7099,0.0155
-6.000,-0.3425,0.01542,0.00962,-0.0511,0.7020,0.0158
-5.750,-0.3188,0.01417,0.00817,-0.0504,0.6945,0.0161
-5.500,-0.2953,0.01299,0.00690,-0.0496,0.6881,0.0166
-5.250,-0.2703,0.01239,0.00624,-0.0491,0.6814,0.0169
-4.750,-0.2193,0.01151,0.00526,-0.0481,0.6694,0.0178
-4.500,-0.1936,0.01113,0.00482,-0.0476,0.6635,0.0183
-4.250,-0.1678,0.01080,0.00444,-0.0471,0.6582,0.0190
-4.000,-0.1411,0.01055,0.00416,-0.0468,0.6532,0.0196
-3.750,-0.1149,0.01028,0.00382,-0.0464,0.6483,0.0200
-3.500,-0.0911,0.00969,0.00316,-0.0456,0.6435,0.0210
-3.250,-0.0645,0.00941,0.00288,-0.0453,0.6387,0.0218
-3.000,-0.0377,0.00921,0.00265,-0.0450,0.6336,0.0229
-2.750,-0.0111,0.00906,0.00243,-0.0446,0.6284,0.0240
-2.500,0.0160,0.00883,0.00219,-0.0444,0.6238,0.0256
-2.250,0.0430,0.00865,0.00200,-0.0441,0.6185,0.0284
-2.000,0.0700,0.00854,0.00185,-0.0439,0.6132,0.0313
-1.750,0.0972,0.00833,0.00167,-0.0436,0.6081,0.0409
-1.500,0.1232,0.00801,0.00152,-0.0433,0.6026,0.0918
-1.250,0.1454,0.00730,0.00137,-0.0425,0.5972,0.2784
-1.000,0.1664,0.00647,0.00128,-0.0415,0.5920,0.5057
-0.750,0.1923,0.00629,0.00126,-0.0410,0.5861,0.5697
-0.500,0.2183,0.00617,0.00124,-0.0406,0.5805,0.6167
-0.250,0.2443,0.00601,0.00123,-0.0401,0.5744,0.6657
0.000,0.2684,0.00582,0.00124,-0.0392,0.5683,0.7349
0.250,0.2923,0.00563,0.00126,-0.0382,0.5624,0.8007
0.500,0.3166,0.00550,0.00129,-0.0372,0.5557,0.8607
0.750,0.3439,0.00544,0.00135,-0.0368,0.5484,0.9150
1.000,0.3775,0.00547,0.00139,-0.0378,0.5402,0.9430
1.250,0.4146,0.00555,0.00144,-0.0398,0.5329,0.9589
1.500,0.4520,0.00564,0.00149,-0.0418,0.5252,0.9715
1.750,0.4921,0.00574,0.00154,-0.0444,0.5176,0.9772
2.000,0.5248,0.00583,0.00160,-0.0454,0.5092,0.9834
2.250,0.5628,0.00591,0.00164,-0.0477,0.5008,0.9859
2.500,0.5994,0.00602,0.00168,-0.0496,0.4904,0.9892
2.750,0.6348,0.00611,0.00174,-0.0513,0.4798,0.9927
3.000,0.6710,0.00620,0.00179,-0.0532,0.4702,0.9954
3.250,0.7078,0.00630,0.00184,-0.0553,0.4607,0.9979
3.500,0.7443,0.00639,0.00190,-0.0573,0.4485,0.9999
3.750,0.7685,0.00648,0.00197,-0.0566,0.4379,1.0000
4.000,0.7919,0.00660,0.00204,-0.0558,0.4280,1.0000
4.500,0.8390,0.00684,0.00223,-0.0542,0.4064,1.0000
4.750,0.8625,0.00699,0.00234,-0.0533,0.3960,1.0000
5.000,0.8856,0.00716,0.00247,-0.0525,0.3846,1.0000
5.250,0.9092,0.00731,0.00261,-0.0517,0.3747,1.0000
5.500,0.9329,0.00747,0.00275,-0.0509,0.3645,1.0000
5.750,0.9563,0.00765,0.00291,-0.0501,0.3546,1.0000
6.000,0.9797,0.00784,0.00307,-0.0494,0.3420,1.0000
6.250,1.0024,0.00808,0.00325,-0.0485,0.3206,1.0000
6.500,1.0237,0.00842,0.00347,-0.0474,0.2960,1.0000
6.750,1.0443,0.00881,0.00374,-0.0462,0.2686,1.0000
7.000,1.0641,0.00927,0.00406,-0.0449,0.2378,1.0000
7.250,1.0825,0.00982,0.00444,-0.0434,0.2031,1.0000
7.500,1.1014,0.01032,0.00482,-0.0420,0.1800,1.0000
7.750,1.1215,0.01074,0.00517,-0.0407,0.1617,1.0000
8.000,1.1397,0.01128,0.00559,-0.0393,0.1372,1.0000
8.250,1.1572,0.01185,0.00604,-0.0377,0.1151,1.0000
8.500,1.1738,0.01248,0.00653,-0.0360,0.0913,1.0000
8.750,1.1911,0.01303,0.00700,-0.0344,0.0766,1.0000
9.000,1.2095,0.01351,0.00745,-0.0330,0.0679,1.0000
9.250,1.2280,0.01395,0.00789,-0.0317,0.0611,1.0000
9.500,1.2452,0.01446,0.00837,-0.0301,0.0543,1.0000
9.750,1.2624,0.01493,0.00884,-0.0286,0.0481,1.0000
10.000,1.2780,0.01546,0.00935,-0.0268,0.0408,1.0000
10.250,1.2897,0.01609,0.00994,-0.0245,0.0336,1.0000
10.500,1.2981,0.01672,0.01056,-0.0215,0.0291,1.0000
10.750,1.3081,0.01733,0.01118,-0.0189,0.0266,1.0000
11.000,1.3147,0.01817,0.01204,-0.0160,0.0238,1.0000
11.250,1.3264,0.01882,0.01275,-0.0141,0.0229,1.0000
11.500,1.3368,0.01960,0.01358,-0.0122,0.0216,1.0000
11.750,1.3454,0.02056,0.01458,-0.0104,0.0206,1.0000
12.000,1.3501,0.02188,0.01595,-0.0084,0.0194,1.0000
12.250,1.3593,0.02301,0.01714,-0.0071,0.0187,1.0000
12.500,1.3691,0.02418,0.01838,-0.0061,0.0181,1.0000
12.750,1.3779,0.02551,0.01978,-0.0052,0.0175,1.0000
13.000,1.3854,0.02704,0.02137,-0.0045,0.0168,1.0000
13.250,1.3914,0.02877,0.02316,-0.0038,0.0162,1.0000
13.500,1.3928,0.03100,0.02546,-0.0032,0.0156,1.0000
13.750,1.3930,0.03341,0.02796,-0.0027,0.0149,1.0000
14.000,1.4004,0.03516,0.02978,-0.0024,0.0146,1.0000
14.250,1.4053,0.03719,0.03189,-0.0022,0.0143,1.0000
14.500,1.4086,0.03940,0.03418,-0.0020,0.0140,1.0000
14.750,1.4108,0.04173,0.03659,-0.0018,0.0137,1.0000
15.000,1.4127,0.04413,0.03906,-0.0017,0.0132,1.0000
15.250,1.4122,0.04685,0.04185,-0.0017,0.0129,1.0000
15.500,1.4098,0.04983,0.04491,-0.0019,0.0126,1.0000
15.750,1.4046,0.05329,0.04845,-0.0023,0.0123,1.0000
16.000,1.3944,0.05742,0.05268,-0.0028,0.0120,1.0000
16.250,1.3838,0.06173,0.05710,-0.0035,0.0118,1.0000
16.500,1.3819,0.06508,0.06053,-0.0042,0.0116,1.0000
16.750,1.3823,0.06815,0.06369,-0.0049,0.0114,1.0000
17.000,1.3787,0.07181,0.06744,-0.0057,0.0112,1.0000
17.250,1.3772,0.07526,0.07098,-0.0066,0.0109,1.0000
17.500,1.3728,0.07914,0.07495,-0.0077,0.0108,1.0000
17.750,1.3658,0.08343,0.07933,-0.0089,0.0106,1.0000
18.000,1.3637,0.08712,0.08309,-0.0101,0.0103,1.0000
18.250,1.3563,0.09163,0.08769,-0.0116,0.0102,1.0000
18.500,1.3494,0.09614,0.09229,-0.0132,0.0100,1.0000
18.750,1.3418,0.10080,0.09703,-0.0149,0.0098,1.0000
