GOE 406b 
1.00000  0.00000
0.94989  0.01621
0.89983  0.03076
0.79971  0.05302
0.69960  0.07388
0.59950  0.09264
0.49943  0.10640
0.39939  0.11326
0.29939  0.11372
0.27000  0.11372
0.22500  0.11372
0.18000  0.11372
     0.149695    0.113720
     0.099715    0.106380
     0.074740    0.096010
     0.049785    0.078840
     0.037315    0.068000
     0.024855    0.054170
     0.012400    0.037130
     0.006180    0.026470
     0.000000    0.000000
0.01258 -0.01473
0.02509 -0.01576
0.05008 -0.01513
0.07507 -0.01299
0.10006 -0.01116
0.15005 -0.00787
0.20003 -0.00582
0.30002 -0.00318
0.40001 -0.00264
0.50001 -0.00260
0.60002 -0.00354
0.70003 -0.00472
0.80003 -0.00628
0.90005 -0.00894
0.95006 -0.00827
1.00000  0.00000
